,,Handsome Jackhammer,,Reload,Any,TRUE,Handsome Jackie,Crew Challenge,Skywell-27,"Reload bounces, releasing novas & shooting. HJ voice randomly plays",,,1,Everyone thinks they are the heroes of their own stories.,,Tales from the Borderlands - Handsome Jack Quote
,,Hyperfocus XZ41,,,Any,TRUE,Power Troopers,Rare Enemy,Atlas HQ,Front shield reflects bullets. T-shaped projectile pattern,,,1,My line has ended.,,Lord of the Rings: The Return of the King Quote
,,Oldridian,,,*Any,TRUE,World Drop Only,,Xylourgos,Switches element on reload. Wpn shield reduces elemental dmg 20%,,,1,They bound the ones they knew of. There were more.,,
,,Predatory Lending,,,N F S R,,Lavender Crawly,Crew Challenge,The Droughts,Uses cash instead of ammo. $1/shot low acc. to $3/shot max acc.,,,0,"Bullets are cheap, but not that cheap.",,
,,Proprietary License,,TRUE,Any N,TRUE,Hydragoian,Crew Challenge,Obsidian Forest,Crit ricochets. Body shots apply stickies. 5-round burst. ADS Increases fire rate,,,1,"A little from Column A, a little from Column B.",,The gun takes effects from almost every weapon manufacturer
,,Redistributor,,,Any N,,Wotan,Maliwan Takedown,Midnight's Cairn,Every 7th shot is Amped. Amped shots chain to nearby enemies,,,1,Man's reach exceeds his imagination.,,The Prestige (2006)
,,Smog,,,Any,,Scourge,Guardian Takedown,Minos Prime,Damage is amplified while Weapon Shield is Active & at Max Capacity,,,1,Haze amaze.,,
,Sniper,Crossbow,,,N,,Urist McEnforcer,Rare Enemy,Lectra City,Explosive bolt. One shot mag size,,,1,All craftsdwarfship is of the highest quality.,,Dwarf Fortress
,,Narp,,,Any,,Haddon Marr,Crew Challenge,Ashfall Peaks,Remaining mag grants bonus to the next mag on reload. Dmg up to +200%,,,1,What happened to your peace lily?,,Hot Fuzz (2007)
,,Tankman's Shield,,,Any,,Captain Traunt,The Impending Storm,Athenas,Every kill adds weapon dmg to next magazine,,,1,You ever seen this dude tank anything ever?,,
,,Woodblocker,,,Any N,TRUE,Indo Tyrant,Rare Enemy,Floodmoor Basin,4-round burst,,,1,You don't get into woodblocks unless you are ready to f***.,,
,,,,,,,,,,,,,,,,
"J
A
K
O
B
S ",AR,Bekah,,,N,,Hammerlock Mail,Hammerlock 100%,Borderlands 3,Splits into 3 projectiles. Hits twice,,,1,Shoot them in the face. Twice.,,Rebekah is Jacob's mother in The Book of Genesis. Red text: South Park S10E10
,,Clairvoyance,,,O,,Kritchy,Crew Challenge,Cursehaven,Crit sticks projectiles which later explode [x4 Masher possible],,,1-2,A broken smile beneath her whispered wings.,,The Mothman Prophecies by John Keel
,,Gatling Gun,,,N,TRUE,Sheega,Sheega's All That,Devil's Razor,Full-Auto. Increases fire rate the longer you shoot. +Crit% bonus,,,1,"Watch me crank it, watch me roll.",,Crank That (Soulja Boy) by Soulja Boy
,,Hand of Glory,,,N,,Quest Reward,Guns of Reliance,Floodmoor Basin,2-Round burst,,,1,"By one, by two, by three!",,The Ingoldsby Legends by Thomas Ingoldsby
,,Lead Sprinkler,,Ric.,N,TRUE,Billy,Lair of the Harpy,Jakobs Estate,Hits spawn explosive projectiles that rain down. Ricochets off enemy,,,1,Splish splash.,,Splish Splash by Bobby Darin
,,Mutant,,,N,,Fungal Gorger,Rare Enemy,The Cankerwood,Full-Auto laser,,,1,Super unnatural.,,"Marvel Comics, X-Factor: Super Unnatural by Peter David"
,,Rowan's Call,,Ric.,F S R,TRUE,Red Rain,Slaughterstar 3000,Slaughterstar 3000,Crit ricochets 2 bullets & returns 2 bullets to mag. Lasers,,,1,Uh-oh!,,
,,Stonethrower,,,N,,Kormash,Name of the Law,Ashfall Peaks,Ricochets several times off enemy hit. Semi-Auto [x4 Masher possible],,,1-2,Everywhere is nearby.,,
,Pistol,Amazing Grace,,,N,,Quest Reward,Life of the Party,Devil's Razor,Crit returns bullet to mag. Low fire rate. High dmg,,,1,Memento mori.,,"Persona 3 Episode 1: Memento Mori. In Persona 3, Crits grant an extra turn"
,,Bite Size,,,N,,Found in game files,,,"Sticky explosive shots. Explode deals [very high] dmg. +crit, dmg, splash radius",,,1,And yet so filling!,,
,,Bloom,,Charge,N,,The Ruiner,Riding to Ruin,Crater's Edge,"""Hold trigger to charge burst fire shots"" Charged shots deal splash dmg",,,1,A thorn by any other name would probably still hurt.,,"Romeo & Juliet ""A rose by any other name would smell as sweet"""
,,King's/Queen's Call,,Ric.,F S/C R O,,Tyreen,Divine Retribution,Destroyer's Rift,"Crit ricochets 3 homing & returns 3 to mag. Heals for ~3% hit, 20% for homing",,,3,"Life is ours, we live it our way.",,Nothing Else Matters by Metallica
,,Maggie,,,N,TRUE,Turnkey Tim,Guns of Reliance,Floodmoor Basin,6 pellets per shot. Low accuracy,,,1,Monty's wife don't take no guff.,,"Borderlands - Montgomery Jakobs & his wife, Maggie"
,,Little Yeeti,,,N,,Yeti,Crew Challenge,Skittermaw Basin,[x2 or x6] Chance to knockback enemies,,,1,Yeet 'em if you got 'em!,,"Phrase: ""Smoke 'em if you got 'em"" meaning ""do what you want"" or ""get comfortable"""
,,Love Drill,,,N,,Eleanor,Call of Gythian,Heart's Desire,20% chance to deal double dmg as shock dmg. Very high crit,,,1,...till death us depart.,,"Wedding Vows: ""To have and to hold... till death do us depart"""
,,Lucky 7,,Ric.,N,TRUE,Scraptrap Prime,One Man's Treasure,The Compactor,"25% chance for: crit, explosive, full-auto, ricochet, amp, or 7 projectiles",,,1,O Fortuna.,,"Translation: ""Oh Fate"". Warframe"
,,Seventh Sense,,Ric.,O,,Quest Reward,CC: Forgotten Answers,The Cankerwood,Reloading causes all spawned projectiles to hit the original target,,,1,"Something so close, and yet... so distant.",,
,,The Companion,,,F,TRUE,Anointed X-2/X-3,Malevolent Practice,The Anvil,Crit ignites enemy. Very High elemental dmg,,,1,You can't take the sky from me.,,Firefly (2002) TV Series
,,The Duc,,TRUE,N,TRUE,The Rampager,Beneath the Meridian,Forgotten Basilica,Sticky explosive rounds. Crit ricochets 2 bullets to nearest enemy,,,1,Fire that off to me real quick.,,Kevin Duc from Gearbox
,,The Flood,,,N,TRUE,Lagromar,Demon in the Dark,Konrad's Hold,Full-Auto. Incredibly fast fire rate,,,1,Take us.,,Floods by Pantera
,,Unforgiven,,,N,TRUE,Indo Tyrant,Rare Enemy,Floodmoor Basin, +432% crit dmg. Unique reload animation,,,1,It's a helluva thing...,,Unforgiven (1992)
,,Wagon Wheel,,,N,TRUE,Tink Train,Rare Enemy,Guts of Carnivora,Ricochets 6 bullets off enemy,,,1,Keep them doggies rollin'.,,Rawhide (1959) Theme Song Lyric
,Shotgun,Hellwalker,,,F,TRUE,Road Dog,Rare Enemy,The Splinterlands,[x10] Guitar riff plays when shot. Pentagram or Sigil of Lucifer spread pattern,,,2,"So, my demons. Your time has come.",,"Video game - Doom & Song - Concealing Fate, Part 2: Deception by TesseracT"
,,Nimble Jack,,,N,,Handsome Jackie,Crew Challenge,Skywell-27,"[x7, x9, x12] Tight spread. 1 shot capacity",,,1,"Jack be nimble, Jack be quick, Jack jump and kill lunatics.",,Jack Be Nimble nursery rhyme
,,One Pump Chump,,,N,,One Punch,Rare Enemy,Lectra City,Fires single slug. Very high damage. 50% chance to not consume ammo,,,≤1,"I swear, that has never happened before.",,Premature ejaculation
,,Robin's Call,,,N,TRUE,Garriden Loch,Crew Challenge,Ashfall Peaks,"[x9, x12, x16] Crit ricochets 1 bullet at nearest enemy & returns 1 to mag",,,4,Are you not he?,,Shakespeare's A Midsummer Night's Dream. Line directed at Robin Goodfellow
,,Sledge's Shotgun,,,N,,Hot Karl,Crew Challenge,Devil's Razor,Fires in bursts. High mag size,,,2,The Legend Lives (still),,"Sledge's Shotgun in Borderlands, Borderlands TPS & Borderlands 2"
,,T.K's Wave,,,N F S,TRUE,Dumptruck,Dump on Dumptruck,The Droughts,[x6 or x8] Wave pattern. Ricochets off surfaces.,,,2,"Ride the wave, dude!",,
,,The Garcia,,,N,,Chonk Stomp,Crew Challenge,Floodmoor Basin,"[x8, x10, x16] High mag size",,,2,"Rooty-tooty, pointy-shooty.",,"""Rooty tooty point and shooty"""
,,The Tidal Wave,,,N,TRUE,Dumptruck,Dump on Dumptruck,The Droughts,[x12] Tidal wave pattern. Ricochets off surfaces. ,,,2,"Flee the wave, dude!",,
,Sniper,Cocky Bastard,,,N,,Eista,We Slass!,Skittermaw Basin,Crit deals additional +100% dmg as shock dmg,,,1,"Great, kid.",,Star Wars VII Han Solo Quote
,,Headsplosion,,TRUE,N,,King Bobo,Rumble in the Jungle,Voracious Canopy,Shots explode on impact. Ricochets 3 times on crit,,,1,That happens all the time.,,Master Exploder by Tenacious D
,,Monocle ,,,N,TRUE,Demoskaggon,Rare Enemy,The Droughts,High crit dmg bonus while ADS ~350%.,,,1,One is enough.,,
,,Skullmasher,,,N,,Eista,We Slass!,Skittermaw Basin,[x5] Extremely fast fire rate,,,1,Makes your brain hurt.,,"Skullmasher in Borderlands, Borderlands TPS & Borderlands 2"
,,Unseen Threat,,,N,,Amach,Rare Enemy,Cursehaven,Crit ricochets 3 homing projectiles,,,1,Taste their fear.,,Kha'Zix from League of Legends
,,Wedding Invitation,,Ric.,FO,,100 Broken Hearts,Broken Hearts,,"Shoots as fire, ricochets as cryo. Crit returns 1 bullet",,,1,Will you be the rest of my life?,,Meet Me Where You're Going by Cloud Cult
,,,,,,,,,,,,,,,,
"M
A
L
I
W
A
N",Pistol,Beacon,,TRUE,Any N,TRUE,Jerrick Logan,Crew Challenge,Bloodsun Canyon,[x1 or x2] Reload triggers nova of current element,,,1-2,This little light of mine...,,
,,Frozen Devil,,,O,,Kukuwajack,Crew Challenge,Negul Neshai,[x1 or x2] Bonus crit for Spike / Freeze,,,1-2,"Not sorry, not sorry, not sorry.",,Overwatch - Mei Voice line
,,Grease Trap,,TRUE,F,,Roaster/Tenderizer,Revenge of the Cartels,Villa Ultraviolet,Hot Grease (spread shot) / Fire Starter (fireballs),,,1,"""EXTREMELY FLAMMABLE!""",,
,,Hellshock,,,FS,TRUE,Vermilingua,The Homestead [Pt. 2],The Splinterlands,[x2] Ricochet switches projectile element,,,1,I had not thought death had undone so many.,,Inferno Dante Alighieri Quote
,,Hyper-Hydrator,,H2O,S,,Deluxe Edition,,,Water gun / Taser. Wet enemies take increased shock dmg,,,1,Moister is noice-ter,,Super Soaker water guns
,,Ice Pick,,,Any N,,Found in game files,,,"Charging increases projectile dmg, speed, & splash radius",,,1,,,
,,Sellout,,TRUE,FC,,Suicide option,Sellout,Ambermire,[x3] Quick laser that explodes as an orb on impact. Damages user,,,3,"Hey there, superfan!",,Tyreen Calypso
,,Superball,,TRUE,F,TRUE,Baron Noggin,Crew Challenge,Meridian Metroplex,Shoots fire balls that bounce along the ground,,,1,Flower power.,,Super Mario Bros. 
,,Thunderball Fists,,TRUE,S,TRUE,Power Troopers,Rare Enemy,Atlas HQ,Shock orb that bounces once before exploding,,,2,I can have such a thing?,,The Super Inframan (1975)
,Shotgun,Blind Sage,,,Any N,TRUE,Locomöbius,What Love Remains,Sapphire's Run ,"[x9 or x18] Dmg applies 8 sec debuff, killed debuffed enemies fire projectile",,,1-2,There is more than one sort of prison.,,Rogue One: A Star-Wars Story (2016) Alexander Freed Quote
,,Chandelier,,TRUE,Any N,,Bellik Primis,Off the Rails,Obisidian Forest,[x4 or x8] Shoots disk projectiles. Splash. Ricochet off non-enemy surface,,,4-5,It will not last the night.,,First Fig by Edna St. Vincent Millay
,,Frequency,,,Any N,TRUE,Lectrikor,Crew Challenge,Obsidian Forest,[x12] Kills increase burst count for a short time. Shoots rift-shaped projectile,,,1,Hertz so good.,,Hertz is the unit of measurement for frequency as cycles per minute
,,Insider,,TRUE,Any N,TRUE,World Drop Only,,Xylourgos,"[x5, x6, x10, or x12] No charge time. Shots penetrate enemies. High splash",,,2-4,"You can run, but you can't hide.",,"Common Phrase, attributed to American boxer Joe Louis in 1940"
,,Kill-o'-the-Wisp,,Orbs,S,TRUE,Under Taker,Under Taker,The Droughts,Large slow shock orb,,,4,Some say it can lead you to your fate.,,Brave (2012)
,,Mind-Killer,,,N,,Mouthpiece,Cult Following,Ascension Bluff,[x9] Equalizer visualizer projectiles,,,1,I must not fear. Fear is the mind-killer,,Dune by Frank Herbert
,,Nothingness,,TRUE,Any N,,Gmork,Crew Challenge,The Cankerwood,Charged shot for several consecutive explosions (similar to the Flakker),,,1,A hole would be something.,,The Neverending Story (1984) Quote
,,Recursion,,TRUE,Any N,TRUE,General Traunt,Footsteps of Giants,Desolation's Edge,[x1 or x2] Shoots a ricocheting disk. Ricochet cap is 7,,,3-4,See green text for description | See red text for description,,Programming function
,,Trevonator,,TRUE,Any N,TRUE,Private Beans,Invasion of Privacy,Athenas,[x3] Very low charge time. 3-round burst,,,1,Trev is gunna get you!,,"Trevor Eastman, Borderlands Fan"
,,Vosk's Deathgrip,,On miss,Any N,,Troy Calypso,The Great Vault,The Great Vault,[x6 laser grid] Vosk's deathgrip: large singularity,6-shot grid,Singularity,6,A good death is its own reward.,,Man of Steel (2013) Quote
,SMG,Cloud Kill,,Cloud,C,,Talk to Ava,Beneath the Meridian,Forgotten Basilica,Produces a corrosive cloud on hit. High fire rate,,,1,"Now, you will rise.",,Borderlands 2 - Maya Skill & Quote
,,Cutsman,,Orbs,F C S,TRUE,Borman Nates,Rare Enemy,Meridian Outskirts,Shoots 2 projectiles connected by a beam. Bladed,,,2,"Little android man, born without a soul.",,Cutsman by Horse the Band
,,Destructo Spinner,,,Any N,TRUE,Power Troopers,Rare Enemy,Atlas HQ,Shoots both elements at once. Splash dmg is of opposite element. Projectiles spin,,,1,I've been hired for destruction.,,Destructo Spin by Between the Buried and Me
,,Devoted,,,Any N,TRUE,Brood Mother,Crew Challenge,The Pyre of Stars,Increases fire rate the longer you shoot. High mag size,,,1,This is your champion.,,Apex Legends
,,D.N.A.,,TRUE,*Any R,,General Traunt,Footsteps of Giants,Desolation's Edge,Shoots random elemental pairs of projectiles. Double helix pattern,,,2,Death cannot be contained.,,Jurassic Park (1993)
,,Ember's Purge,,Puddle,F,,Ember Mail,Ember 100%,Handsome Jackpot,[x1 or x2] 10% chance to create elemental puddle on enemy impact,,,1-2,She's the only one who knows what it is to burn.,,What It is to Burn by Finch
